activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
leakyrelu,sgd,0.2,kaiming,18.35,0.955,0.6069
leakyrelu,sgd,0.2,orthogonal,17.76,0.934,0.421
leakyrelu,sgd,0.3,default,18.18,0.94,0.4704
leakyrelu,sgd,0.3,xavier,18.39,0.936,0.4391
leakyrelu,sgd,0.3,kaiming,17.24,0.953,0.5916
leakyrelu,sgd,0.3,orthogonal,17.61,0.934,0.421
leakyrelu,adam,0.0,default,20.67,0.96,0.6927
leakyrelu,adam,0.0,xavier,23.02,0.957,0.6057
leakyrelu,adam,0.0,kaiming,22.72,0.955,0.6084
leakyrelu,adam,0.0,orthogonal,18.72,0.955,0.5924
leakyrelu,adam,0.1,default,17.78,0.957,0.6904
leakyrelu,adam,0.1,xavier,19.19,0.944,0.5961
leakyrelu,adam,0.1,kaiming,18.41,0.939,0.593
leakyrelu,adam,0.1,orthogonal,17.53,0.945,0.6649
leakyrelu,adam,0.2,default,17.75,0.955,0.6045
leakyrelu,adam,0.2,xavier,17.96,0.955,0.6195
leakyrelu,adam,0.2,kaiming,22.66,0.946,0.5884
leakyrelu,adam,0.2,orthogonal,17.66,0.943,0.5868
leakyrelu,adam,0.3,default,17.21,0.955,0.6147
leakyrelu,adam,0.3,xavier,17.8,0.947,0.5982
leakyrelu,adam,0.3,kaiming,18.19,0.953,0.6205
leakyrelu,adam,0.3,orthogonal,16.98,0.943,0.5962
leakyrelu,rmsprop,0.0,default,16.28,0.96,0.6765
leakyrelu,rmsprop,0.0,xavier,16.91,0.956,0.6005
leakyrelu,rmsprop,0.0,kaiming,16.79,0.951,0.5815
leakyrelu,rmsprop,0.0,orthogonal,16.34,0.957,0.618
leakyrelu,rmsprop,0.1,default,16.24,0.958,0.6173
leakyrelu,rmsprop,0.1,xavier,15.78,0.957,0.6265
leakyrelu,rmsprop,0.1,kaiming,16.63,0.95,0.5981
leakyrelu,rmsprop,0.1,orthogonal,16.5,0.955,0.6162
leakyrelu,rmsprop,0.2,default,16.28,0.958,0.6109
leakyrelu,rmsprop,0.2,xavier,17.33,0.958,0.628
leakyrelu,rmsprop,0.2,kaiming,15.99,0.953,0.6097
leakyrelu,rmsprop,0.2,orthogonal,16.25,0.955,0.6127
leakyrelu,rmsprop,0.3,default,16.25,0.96,0.6251
leakyrelu,rmsprop,0.3,xavier,16.37,0.959,0.6222
leakyrelu,rmsprop,0.3,kaiming,16.46,0.949,0.5863
leakyrelu,rmsprop,0.3,orthogonal,16.97,0.957,0.6228
